Fecha,Producto,Categoría,precio,Cantidad,Total
4/15/2026,Monitor,Tecnologia,$628.15 ,2,"$1,256.30 "
3/17/2026,Laptop,Tecnologia,$453.06 ,10,"$4,530.60 "
4/1/2026,Mouse,Accesorios,$871.07 ,1,$871.07 
3/23/2026,Mouse,Accesorios,$359.57 ,9,"$3,236.13 "
4/14/2026,Mouse,Accesorios,$276.61 ,2,$553.22 
3/26/2026,Audifonos,Audio,$660.03 ,5,"$3,300.15 "
4/1/2026,Teclado,Tecnologia,$64.27 ,2,$128.54 
3/31/2026,Laptop,Tecnologia,$384.50 ,2,$769.00 
3/22/2026,Laptop,Tecnologia,$518.41 ,8,"$4,147.28 "
3/26/2026,Monitor,Tecnologia,$715.37 ,10,"$7,153.70 "
3/18/2026,Laptop,Tecnologia,$513.22 ,10,"$5,132.20 "
3/25/2026,Laptop,Tecnologia,$712.39 ,2,"$1,424.78 "
4/11/2026,Teclado,Tecnologia,$837.73 ,8,"$6,701.84 "
3/26/2026,Audifonos,Audio,$637.65 ,5,"$3,188.25 "
4/3/2026,Audifonos,Audio,$870.84 ,6,"$5,225.04 "
3/25/2026,Laptop,Tecnologia,$530.56 ,3,"$1,591.68 "
4/11/2026,Monitor,Tecnologia,$956.26 ,9,"$8,606.34 "
3/29/2026,Audifonos,Audio,$682.90 ,1,$682.90 
3/29/2026,Monitor,Tecnologia,$977.57 ,6,"$5,865.42 "
4/14/2026,Mouse,Accesorios,$213.79 ,3,$641.37 
4/10/2026,Mouse,Accesorios,$833.18 ,4,"$3,332.72 "
3/30/2026,Laptop,Tecnologia,$394.69 ,4,"$1,578.76 "
4/4/2026,Monitor,Tecnologia,$911.34 ,7,"$6,379.38 "
4/1/2026,Mouse,Accesorios,$374.40 ,5,"$1,872.00 "
3/21/2026,Audifonos,Audio,$665.15 ,6,"$3,990.90 "
3/18/2026,Monitor,Tecnologia,$504.07 ,10,"$5,040.70 "
4/13/2026,Mouse,Accesorios,$987.57 ,9,"$8,888.13 "
4/14/2026,Teclado,Tecnologia,$912.19 ,10,"$9,121.90 "
3/17/2026,Audifonos,Audio,$886.37 ,1,$886.37 
4/1/2026,Teclado,Tecnologia,$79.60 ,8,$636.80 
4/11/2026,Mouse,Accesorios,$809.19 ,4,"$3,236.76 "
4/14/2026,Monitor,Tecnologia,$64.47 ,4,$257.88 
3/27/2026,Mouse,Accesorios,$268.51 ,8,"$2,148.08 "
4/14/2026,Audifonos,Audio,$327.33 ,10,"$3,273.30 "
4/6/2026,Teclado,Tecnologia,$216.64 ,9,"$1,949.76 "
3/17/2026,Audifonos,Audio,$106.05 ,6,$636.30 
4/8/2026,Monitor,Tecnologia,$670.75 ,9,"$6,036.75 "
3/21/2026,Monitor,Tecnologia,$790.82 ,2,"$1,581.64 "
3/31/2026,Mouse,Accesorios,$237.85 ,9,"$2,140.65 "
3/26/2026,Mouse,Accesorios,$699.21 ,6,"$4,195.26 "
4/5/2026,Laptop,Tecnologia,$389.78 ,7,"$2,728.46 "
4/9/2026,Teclado,Tecnologia,$301.12 ,9,"$2,710.08 "
3/17/2026,Teclado,Tecnologia,$238.24 ,6,"$1,429.44 "
4/11/2026,Laptop,Tecnologia,$793.78 ,8,"$6,350.24 "
3/22/2026,Mouse,Accesorios,$809.76 ,8,"$6,478.08 "
3/21/2026,Monitor,Tecnologia,$776.78 ,1,$776.78 
4/9/2026,Monitor,Tecnologia,$770.74 ,2,"$1,541.48 "
3/26/2026,Monitor,Tecnologia,$527.06 ,6,"$3,162.36 "
